,sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight
3112,I,0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094
3113,I,0.425,0.325,0.105,0.3975,0.1815,0.081,0.1175
3114,I,0.44,0.34,0.1,0.379,0.1725,0.0815,0.10099999999999999
3115,I,0.44,0.34,0.12,0.4995,0.2965,0.0945,0.1185
3116,M,0.465,0.405,0.135,0.7775,0.436,0.1715,0.1455
3117,F,0.47,0.36,0.1,0.4705,0.1635,0.08900000000000001,0.1385
3118,M,0.51,0.415,0.145,0.7509999999999999,0.3295,0.1835,0.203
3119,F,0.525,0.4,0.135,0.7140000000000001,0.318,0.138,0.20800000000000002
3120,F,0.525,0.4,0.13,0.6995,0.3115,0.131,0.223
3121,F,0.55,0.425,0.14,0.9520000000000001,0.4895,0.1945,0.2185
3122,M,0.56,0.42,0.15,0.8755,0.44,0.1965,0.2315
3123,M,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365
3124,F,0.575,0.45,0.135,0.8285,0.36200000000000004,0.1655,0.23600000000000002
3125,M,0.585,0.46,0.15,1.206,0.581,0.21600000000000003,0.32299999999999995
3126,M,0.615,0.495,0.155,1.2865,0.435,0.293,0.3245
3127,F,0.62,0.485,0.155,1.1945,0.5105,0.271,0.35200000000000004
3128,F,0.63,0.495,0.19,1.1655,0.536,0.2115,0.1625
3129,F,0.63,0.49,0.17,1.2155,0.4625,0.2045,0.3105
3130,M,0.67,0.515,0.165,1.1735,0.526,0.285,0.316
3131,M,0.675,0.505,0.16,1.5319999999999998,0.74,0.35700000000000004,0.3815
3132,F,0.685,0.53,0.17,1.5105,0.7385,0.3525,0.3725
3133,F,0.485,0.39,0.1,0.5565,0.2215,0.1155,0.185
3134,M,0.46,0.36,0.125,0.547,0.2165,0.1105,0.19
3135,M,0.46,0.35,0.125,0.5165,0.1885,0.1145,0.185
3136,M,0.535,0.42,0.125,0.764,0.312,0.1505,0.265
3137,M,0.465,0.36,0.105,0.488,0.188,0.0845,0.19
3138,M,0.51,0.4,0.14,0.6905,0.259,0.151,0.23
3139,I,0.335,0.26,0.09,0.1835,0.078,0.024,0.065
3140,M,0.55,0.425,0.16,0.97,0.2885,0.139,0.48
3141,I,0.18,0.135,0.08,0.033,0.0145,0.006999999999999999,0.01
3142,I,0.215,0.165,0.055,0.059000000000000004,0.0265,0.0125,0.0185
3143,I,0.2,0.15,0.04,0.046,0.021,0.006999999999999999,0.0065
3144,F,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355
3145,M,0.55,0.42,0.17,0.8465,0.336,0.2405,0.245
3146,M,0.585,0.45,0.15,1.047,0.4315,0.276,0.315
3147,F,0.645,0.5,0.18,1.2785,0.5345,0.2995,0.345
3148,F,0.71,0.53,0.195,1.8745,0.6755,0.4065,0.6855
3149,F,0.7,0.54,0.215,1.9780000000000002,0.6675,0.3125,0.71
3150,F,0.655,0.505,0.165,1.367,0.5835,0.3515,0.396
3151,F,0.665,0.5,0.175,1.742,0.595,0.3025,0.725
3152,F,0.47,0.375,0.105,0.513,0.23199999999999998,0.142,0.13
3153,M,0.425,0.335,0.1,0.4085,0.1755,0.092,0.135
3154,M,0.54,0.41,0.13,0.56,0.2375,0.1065,0.175
3155,M,0.505,0.395,0.125,0.635,0.29,0.1555,0.175
3156,M,0.535,0.44,0.165,0.875,0.27899999999999997,0.18,0.3
3157,F,0.43,0.35,0.09,0.397,0.1575,0.08900000000000001,0.12
3158,M,0.55,0.435,0.11,0.8059999999999999,0.3415,0.203,0.215
3159,F,0.34,0.255,0.085,0.204,0.09699999999999999,0.021,0.05
3160,I,0.275,0.2,0.065,0.1165,0.0565,0.013000000000000001,0.035
3161,F,0.335,0.22,0.07,0.17,0.076,0.0365,0.05
3162,M,0.64,0.49,0.14,1.194,0.4445,0.23800000000000002,0.375
3163,F,0.55,0.44,0.125,0.765,0.33,0.2125,0.245
3164,F,0.64,0.475,0.19,1.151,0.4365,0.281,0.3805
3165,F,0.545,0.41,0.115,0.6765,0.29,0.158,0.22
3166,F,0.64,0.54,0.175,1.571,0.627,0.271,0.475
3167,M,0.605,0.49,0.155,1.153,0.503,0.2505,0.295
3168,M,0.605,0.47,0.115,1.114,0.3925,0.29100000000000004,0.31
3169,M,0.56,0.45,0.155,0.9125,0.3595,0.271,0.35
3170,F,0.57,0.465,0.155,0.872,0.3245,0.239,0.285
3171,M,0.525,0.405,0.16,0.792,0.316,0.1455,0.28
3172,F,0.505,0.405,0.18,0.606,0.239,0.1235,0.18
3173,M,0.35,0.265,0.09,0.2265,0.0995,0.0575,0.065
3174,M,0.45,0.355,0.12,0.3955,0.147,0.0765,0.145
3175,I,0.51,0.405,0.12,0.61,0.22899999999999998,0.131,0.235
3176,F,0.49,0.38,0.13,0.539,0.22899999999999998,0.1355,0.165
3177,F,0.505,0.41,0.135,0.657,0.29100000000000004,0.133,0.195
3178,M,0.38,0.3,0.1,0.2505,0.106,0.0535,0.0775
3179,I,0.27,0.195,0.07,0.102,0.045,0.0135,0.034
3180,F,0.37,0.295,0.1,0.2685,0.1165,0.055999999999999994,0.0835
3181,M,0.5,0.385,0.135,0.551,0.2245,0.0715,0.20600000000000002
3182,M,0.645,0.505,0.165,1.307,0.4335,0.262,0.52
3183,M,0.565,0.44,0.115,0.9185,0.40399999999999997,0.1785,0.29
3184,F,0.67,0.545,0.175,1.7069999999999999,0.6995,0.387,0.575
3185,F,0.59,0.415,0.15,0.8805,0.3645,0.23399999999999999,0.235
3186,F,0.47,0.36,0.11,0.4965,0.237,0.127,0.13
3187,F,0.51,0.385,0.135,0.632,0.282,0.145,0.17
3188,M,0.72,0.575,0.23,2.2695,0.8835,0.3985,0.665
3189,M,0.55,0.405,0.15,0.9235,0.41200000000000003,0.2135,0.24
3190,I,0.2,0.145,0.025,0.0345,0.011000000000000001,0.0075,0.01
3191,M,0.65,0.515,0.18,1.3315,0.5665,0.34700000000000003,0.405
3192,F,0.525,0.405,0.115,0.72,0.3105,0.1915,0.2
3193,M,0.565,0.435,0.185,1.032,0.354,0.2045,0.31
3194,F,0.61,0.47,0.16,1.0170000000000001,0.426,0.2255,0.32
3195,F,0.545,0.405,0.175,0.98,0.2585,0.207,0.38
3196,I,0.325,0.245,0.075,0.1495,0.0605,0.033,0.045
3197,I,0.31,0.235,0.075,0.1515,0.055999999999999994,,0.05
3198,M,0.45,0.335,0.14,0.478,0.1865,0.115,0.16
3199,F,0.49,0.38,0.155,0.578,0.2395,0.1255,0.18
3200,F,0.505,0.405,0.16,0.6835,0.271,0.145,0.215
3201,F,0.385,0.3,0.1,0.2725,0.1115,0.057,0.08
3202,F,0.62,0.485,0.22,1.511,0.5095,0.284,0.51
3203,F,0.635,0.505,0.185,1.3035,0.501,0.295,0.41
3204,F,0.665,0.53,0.185,1.3955,0.456,0.3205,0.49
3205,M,0.335,0.265,0.095,0.1975,0.0795,0.0375,0.07
3206,I,0.295,0.215,0.075,0.11599999999999999,0.037000000000000005,0.0295,0.04
3207,I,0.48,0.38,0.125,0.523,0.2105,0.1045,0.175
3208,I,0.32,0.25,0.08,0.1565,0.057,0.034,0.06
3209,I,0.43,0.34,0.125,0.384,0.1375,0.061,0.146
3210,M,0.565,0.45,0.14,1.0055,0.3785,0.244,0.265
3211,F,0.6,0.48,0.165,1.1345,0.4535,0.27,0.335
3212,F,0.585,0.46,0.17,1.0835,0.3745,0.326,0.325
3213,F,0.555,0.42,0.14,0.868,0.33,0.243,0.21
3214,F,0.57,0.495,0.16,1.0915,0.452,0.275,0.315
3215,F,0.62,0.485,0.175,1.271,0.531,0.3075,0.37
3216,M,0.63,0.51,0.19,1.4985,0.4125,0.3075,0.545
3217,M,0.425,0.34,0.12,0.38799999999999996,0.149,0.087,0.125
3218,F,0.64,0.505,0.19,1.2355,0.4435,0.3105,0.365
3219,M,0.675,0.525,0.175,1.402,0.483,0.3205,0.465
3220,M,0.5,0.4,0.145,0.6025,0.21600000000000003,0.138,0.21
3221,M,0.385,0.305,0.09,0.2775,0.109,0.0515,0.1
3222,M,0.52,0.435,0.195,0.973,0.2985,0.2135,0.355
3223,M,0.52,0.415,0.175,0.753,0.258,0.171,0.255
3224,M,0.64,0.525,0.2,1.3765,0.44,0.3075,0.47
3225,I,0.44,0.35,0.12,0.375,0.1425,0.0965,0.115
3226,F,0.42,0.32,0.13,0.4135,0.1645,0.106,0.11900000000000001
3227,F,0.45,0.35,0.135,0.56,0.231,0.13699999999999998,0.145
3228,I,0.42,0.325,0.125,0.3915,0.1575,0.1025,0.115
3229,F,0.64,0.505,0.19,1.2765,0.4835,0.32799999999999996,0.4
3230,M,0.57,0.455,0.15,0.96,0.387,0.2385,0.275
3231,M,0.41,0.325,0.12,0.3745,0.158,0.081,0.125
3232,M,0.485,0.41,0.15,0.696,0.2405,0.1625,0.265
3233,F,0.61,0.48,0.19,1.2955,0.5215,0.3225,0.365
3234,F,0.59,0.485,0.205,1.2315,0.4525,0.23800000000000002,0.42
3235,M,0.665,0.535,0.155,1.383,0.596,0.2565,0.485
3236,I,0.345,0.285,0.1,0.2225,0.0865,0.057999999999999996,0.075
3237,M,0.635,0.51,0.155,1.156,0.428,0.289,0.315
3238,M,0.695,0.53,0.15,1.4769999999999999,0.6375,0.3025,0.43
3239,F,0.69,0.54,0.185,1.5715,0.6935,0.318,0.47
3240,M,0.555,0.435,0.135,0.858,0.377,0.1585,0.29
3241,M,0.65,0.525,0.19,1.4995,0.6265,0.4005,0.395
3242,,0.635,0.48,0.19,1.4669999999999999,0.5825,0.303,0.42
3243,F,0.655,0.51,0.16,1.092,0.396,0.2825,0.37
3244,F,0.69,0.555,0.205,1.8165,0.7785,0.4395,0.515
3245,F,0.695,0.55,0.16,1.6365,0.6940000000000001,0.3005,0.44
3246,M,0.55,0.435,0.16,0.9059999999999999,0.342,0.21899999999999997,0.295
3247,F,0.61,0.495,0.19,1.213,0.46399999999999997,0.306,0.365
3248,M,0.595,0.5,0.165,1.06,0.402,0.28,0.275
3249,M,0.3,0.24,0.09,0.161,0.0725,0.039,0.05
3250,F,0.435,0.35,0.125,0.45899999999999996,0.19699999999999998,0.1145,0.145
3251,I,0.455,0.375,0.125,0.5329999999999999,0.233,0.106,0.185
3252,M,0.48,0.38,0.13,0.6175,0.3,0.142,0.175
3253,I,0.43,0.35,0.105,0.366,0.1705,0.0855,0.11
3254,F,0.435,0.35,0.105,0.4195,0.19399999999999998,0.1005,0.13
3255,I,0.3,0.23,0.075,0.15,0.0605,0.042,0.045
3256,F,0.575,0.48,0.15,0.8745,0.375,0.193,0.29
3257,M,0.505,0.385,0.11,0.655,0.3185,0.15,0.185
3258,M,0.455,0.375,0.125,0.484,0.2155,0.102,0.165
3259,M,0.64,0.505,0.165,1.4435,0.6145,0.3035,0.39
3260,F,0.56,0.435,0.125,0.8775,0.3345,0.2145,0.29
3261,F,0.645,0.52,,1.3105,0.58,0.28800000000000003,0.37
3262,F,0.595,0.485,0.145,1.2515,0.5035,0.2925,0.33
3263,M,0.565,0.45,0.115,0.9085,0.39799999999999996,0.19699999999999998,0.29
3264,F,0.655,0.5,0.14,1.1705,0.5405,0.3175,0.285
3265,M,0.48,0.38,0.135,0.528,0.2,0.1395,0.16
3266,F,0.495,0.385,0.135,0.6625,0.3005,0.1635,0.185
3267,F,0.4,0.335,0.115,0.4335,0.2105,0.1205,0.12
3268,M,0.41,0.31,0.125,0.3595,0.1415,0.0885,0.115
3269,F,0.595,0.465,0.145,1.107,0.402,0.2415,0.31
3270,F,0.625,0.475,0.13,0.8595,0.3195,0.1775,0.24
3271,M,0.52,0.425,0.155,0.7735,0.297,0.12300000000000001,0.255
3272,M,0.465,0.36,0.125,0.4365,0.16899999999999998,0.1075,0.145
3273,F,0.475,0.375,0.14,0.501,0.192,0.1175,0.175
3274,F,0.5,0.405,0.14,0.6735,0.265,0.124,0.25
3275,M,0.46,0.355,0.11,0.415,0.215,0.08199999999999999,0.13
3276,M,0.485,0.385,0.125,0.4775,0.2,0.0785,0.17
3277,F,0.465,0.39,0.14,0.5555,0.213,0.1075,0.215
3278,M,0.525,0.415,0.16,0.6445,0.26,0.1575,0.22
3279,F,0.655,0.53,0.19,1.4280000000000002,0.493,0.318,0.565
3280,M,0.69,0.54,0.185,1.6195,0.5329999999999999,0.353,0.555
3281,M,0.55,0.45,0.17,0.81,0.317,0.157,0.22
3282,F,0.58,0.475,0.165,1.0385,0.414,0.26,0.305
3283,F,0.59,0.475,0.155,0.9715,0.371,0.235,0.28
3284,M,0.565,0.44,0.155,0.868,0.348,0.217,0.26
3285,F,0.665,0.57,0.185,1.5219999999999998,0.6965,0.3025,0.405
3286,F,0.62,0.51,0.175,1.1255,0.4985,0.22699999999999998,0.315
3287,M,0.55,0.46,0.13,0.7085,0.305,0.1455,0.205
3288,F,0.605,0.475,0.145,1.0185,0.4695,0.225,0.27
3289,M,0.535,0.42,0.16,0.72,0.275,0.16399999999999998,0.225
3290,F,0.51,0.395,0.12,0.6175,0.262,0.122,0.193
3291,M,0.53,0.405,0.13,0.738,0.2845,0.17,0.193
3292,F,0.495,0.375,0.15,0.597,0.2615,0.135,0.17800000000000002
3293,M,0.575,0.455,0.185,1.156,,0.243,0.295
3294,F,0.63,0.5,0.16,1.22,0.4905,0.3,0.345
3295,M,0.59,0.45,0.12,0.7485,0.3345,0.1315,0.22
3296,F,0.605,0.485,0.165,1.0735,0.43700000000000006,0.205,0.33
3297,M,0.645,0.5,0.19,1.229,0.524,0.278,0.395
3298,F,0.62,0.5,0.175,1.146,0.47700000000000004,,0.39
3299,M,0.605,0.485,0.175,1.145,0.4325,0.27,0.405
3300,F,0.615,0.5,0.205,1.1055,0.4445,0.22699999999999998,0.39
3301,F,0.66,0.525,0.19,1.67,0.6525,0.4875,0.49
3302,F,0.71,0.575,0.175,1.555,0.6465,0.3705,0.52
3303,F,0.565,0.45,0.185,0.9285,0.302,0.1805,0.265
3304,F,0.57,0.435,0.14,0.8085,0.3235,0.183,0.22
3305,I,0.6,0.445,0.175,1.057,0.38299999999999995,0.21600000000000003,0.355
3306,I,0.41,0.3,0.115,0.2595,0.09699999999999999,0.0515,0.08
3307,F,0.45,0.325,0.135,0.43799999999999994,0.1805,0.1165,0.11
3308,M,0.275,0.2,0.08,0.099,0.037000000000000005,0.024,0.03
3309,I,0.485,0.355,0.12,0.5085,0.21,0.122,0.135
3310,F,0.62,0.485,0.165,1.166,0.483,0.23800000000000002,0.355
3311,F,0.48,0.38,0.135,0.507,0.1915,0.1365,0.155
3312,F,0.505,0.41,0.15,0.6345,0.243,0.1335,0.215
3313,M,0.4,0.31,0.11,0.314,0.138,0.057,0.1
3314,I,0.45,0.355,0.115,0.4385,0.184,0.10800000000000001,0.1125
3315,M,0.35,0.26,0.09,0.195,0.0745,0.040999999999999995,0.0655
3316,M,0.44,0.35,0.14,0.451,0.171,0.0705,0.184
3317,M,0.265,0.2,0.065,0.084,0.034,0.0105,0.03
3318,M,,0.125,0.04,0.0245,0.0095,0.0045,0.008
3319,F,0.705,0.555,0.2,1.4685,0.4715,0.3235,0.52
3320,F,0.535,0.425,0.155,0.7765,0.302,0.1565,0.25
3321,I,0.49,0.385,0.14,0.5425,0.198,0.127,0.175
3322,F,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595
3323,F,0.395,0.3,0.105,0.3375,0.1435,0.0755,0.098
3324,I,0.375,0.28,0.1,0.2565,0.1165,0.0585,0.0725
3325,M,0.345,0.265,0.09,0.163,0.0615,0.037000000000000005,0.0485
3326,I,0.55,0.415,0.135,0.8095,0.2985,0.2015,0.28
3327,I,0.635,0.48,0.2,1.3655,0.6255,0.2595,0.425
3328,I,0.575,0.475,0.17,0.9670000000000001,0.3775,0.284,0.275
3329,F,0.545,0.435,0.15,0.6855,0.2905,0.145,0.225
3330,F,0.385,0.305,0.125,0.314,0.146,0.0555,0.08
3331,F,0.51,0.34,0.18,0.7005,0.312,0.165,0.2
3332,I,0.44,0.34,0.125,0.4895,0.1735,0.0875,0.2
3333,I,0.45,0.36,0.125,0.45,0.191,0.0865,0.145
3334,I,0.39,0.3,0.105,0.259,0.0955,0.038,0.085
3335,F,0.425,0.325,0.135,0.382,0.1465,0.079,0.14
3336,F,0.45,0.35,0.125,0.4435,0.185,0.09,0.145
3337,I,0.66,0.525,0.18,1.6935,0.6025,0.4005,0.42
3338,F,0.685,0.525,0.175,1.71,0.5415,0.309,0.58
3339,F,0.585,0.475,0.185,0.8575,0.3465,0.1785,0.275
3340,I,0.54,0.435,0.145,0.97,0.4285,0.22,0.264
3341,F,0.49,0.39,0.135,0.59,0.215,0.125,0.1845
3342,M,0.43,0.33,0.095,0.34,0.1315,0.085,0.11199999999999999
3343,F,0.455,0.365,0.11,0.385,0.166,0.046,0.1345
3344,I,0.495,0.38,0.145,0.515,0.175,0.098,0.212
3345,F,0.48,0.38,0.145,0.59,0.23199999999999998,0.141,0.23
3346,I,0.47,0.4,0.16,0.51,0.1615,0.073,0.198
3347,M,0.415,0.32,0.1,0.3005,0.1215,0.0575,0.10400000000000001
3348,I,0.49,0.385,0.115,0.6829999999999999,0.3265,0.1615,0.165
3349,I,0.47,0.375,0.105,0.46799999999999997,0.1665,0.10800000000000001,0.17
3350,I,0.445,0.345,0.13,0.4075,0.1365,0.0645,0.18
3351,F,0.51,0.38,0.13,0.584,0.22399999999999998,0.1355,0.185
3352,F,0.52,0.405,0.145,0.8290000000000001,0.3535,0.1685,0.205
3353,I,0.475,0.365,0.14,0.4545,0.171,0.11800000000000001,0.158
3354,F,0.455,0.36,0.11,0.4385,0.20600000000000002,0.098,0.125
3355,I,0.435,0.34,0.11,0.40700000000000003,0.1685,0.073,0.13
3356,I,0.39,0.3,0.1,0.3085,0.1385,0.0735,0.085
3357,I,0.375,0.285,0.1,0.239,0.105,0.0555,0.07
3358,M,0.285,0.215,0.075,0.106,0.0415,0.023,0.035
3359,I,0.58,0.445,0.17,1.178,0.3935,0.2165,0.315
3360,F,0.58,0.44,0.175,1.073,0.4005,0.2345,0.335
3361,M,0.41,0.315,0.095,0.306,0.121,0.0735,0.09
3362,M,0.41,0.3,0.1,0.301,0.124,0.069,0.09
3363,I,0.54,0.405,0.15,0.7585,0.307,0.2075,0.19
3364,M,0.33,0.245,0.085,0.171,0.0655,0.0365,0.055
3365,I,0.44,0.31,0.115,0.3625,0.134,0.08199999999999999,0.12
3366,M,0.28,0.21,0.065,0.0905,0.035,0.02,0.03
3367,I,0.59,0.465,0.195,1.0885,0.3685,0.187,0.375
3368,I,0.61,0.48,0.165,1.097,0.4215,0.264,0.335
3369,I,0.61,0.46,0.17,1.278,0.41,0.257,0.37
3370,M,0.455,0.345,0.125,0.44,0.16899999999999998,0.1065,0.135
3371,M,0.33,0.235,0.09,0.163,0.0615,0.034,0.055
3372,I,0.44,0.33,0.135,0.522,0.17,0.0905,0.195
3373,M,0.54,0.405,0.155,0.9715,0.3225,0.19399999999999998,0.29
3374,F,0.475,0.375,0.125,0.588,0.237,0.1715,0.155
3375,F,0.46,0.33,0.15,0.5325,0.2085,0.1805,0.125
3376,I,0.31,0.235,0.09,0.127,0.048,0.031,0.04
3377,I,0.255,0.19,0.07,0.0815,0.027999999999999997,0.016,0.031
3378,M,0.335,0.255,0.075,0.1635,0.0615,0.0345,0.057
3379,I,0.295,0.21,0.08,0.1,0.038,0.026000000000000002,0.031
3380,I,0.19,0.13,0.045,0.0265,0.009000000000000001,0.005,0.009000000000000001
3381,M,0.545,0.435,0.165,0.9955,0.3245,0.2665,0.325
3382,M,0.495,0.4,0.12,0.6605,0.2605,0.161,0.19
3383,M,0.5,0.375,0.13,0.721,0.3055,0.1725,0.22
3384,F,0.305,0.225,0.07,0.1485,0.0585,0.0335,0.045
3385,F,0.475,0.35,0.115,0.48700000000000004,0.19399999999999998,0.1455,0.125
3386,M,0.515,0.4,0.125,0.955,0.341,0.2535,0.26
3387,M,0.545,0.41,0.145,0.873,0.3035,0.196,0.31
3388,M,0.74,0.535,0.185,1.65,0.7340000000000001,0.4505,0.335
3389,M,0.565,0.465,0.15,1.1285,0.377,0.3525,0.33
3390,M,0.56,0.44,0.16,1.1115,0.5035,0.2785,0.26
3391,M,0.545,0.42,0.125,0.9745,0.353,0.174,0.305
3392,M,0.645,0.515,0.185,1.4605,0.5835,0.3155,0.41
3393,M,0.575,0.435,0.13,1.0105,0.368,0.222,0.32
3394,M,0.62,0.48,0.16,1.0765,0.41200000000000003,0.253,0.3
3395,F,0.605,0.45,0.165,1.2225,0.35700000000000004,0.20199999999999999,0.385
3396,M,0.605,0.475,0.16,1.6159999999999999,0.5495,0.332,0.34
3397,F,0.475,0.375,0.15,0.5589999999999999,0.1955,0.1215,0.1945
3398,M,0.365,0.285,0.085,0.2205,0.0855,0.0515,0.07
3399,F,0.46,0.35,0.115,0.44,0.19,0.1025,0.13
3400,M,0.53,0.43,0.135,0.879,0.28,0.2165,0.25
3401,M,0.48,0.395,0.15,0.6815,0.2145,0.1405,0.2495
3402,M,0.455,0.345,0.15,0.5795,0.1685,0.125,0.215
3403,I,0.35,0.265,0.11,0.209,0.066,0.059000000000000004,0.075
3404,M,0.37,0.28,0.105,0.22399999999999998,0.0815,0.0575,0.075
3405,I,0.34,0.25,0.075,0.1765,0.0785,0.0405,0.05
3406,I,0.35,0.28,0.075,0.196,0.08199999999999999,0.04,0.064
3407,I,0.35,0.265,0.08,0.192,0.081,0.0465,0.053
3408,I,0.39,0.315,0.09,0.3095,0.147,0.05,0.09
3409,I,0.395,0.31,0.095,0.313,0.131,0.07200000000000001,0.09300000000000001
3410,I,0.415,0.31,0.105,0.3595,0.16699999999999998,0.083,0.0915
3411,I,0.43,0.32,0.1,0.3855,0.192,0.0745,0.1
3412,I,0.48,0.355,0.115,0.5785,0.25,0.106,0.184
3413,M,0.49,0.395,0.12,0.674,0.3325,0.1235,0.185
3414,F,0.49,0.37,0.105,0.5265,0.249,0.1005,0.14800000000000002
3415,F,0.56,0.465,0.16,1.0315,0.43200000000000005,0.2025,0.337
3416,M,0.56,0.45,0.14,0.9,0.47200000000000003,0.182,0.218
3417,M,0.58,0.46,0.15,1.0165,0.491,0.221,0.265
3418,F,0.58,0.48,0.18,1.2495,0.4945,0.27,0.371
3419,M,0.59,0.47,0.135,1.1685,0.539,0.27899999999999997,0.28
3420,F,0.595,0.475,0.165,1.148,0.444,0.214,0.37
3421,M,0.6,0.475,0.15,1.089,0.5195,0.223,0.292
3422,M,0.61,0.47,0.155,1.0325,0.49700000000000005,0.2175,0.2785
3423,F,0.63,0.475,0.15,1.172,0.536,0.254,0.316
3424,M,0.64,0.51,0.17,1.3715,0.5670000000000001,0.307,0.409
3425,F,0.65,0.545,0.185,1.5055,0.6565,0.341,0.43
3426,M,0.71,0.55,0.2,1.9045,0.882,0.44,0.5
3427,M,0.74,0.605,0.2,2.4925,1.1455,0.575,0.5235
3428,I,0.25,0.18,0.065,0.0805,0.0345,0.0185,0.0215
3429,I,0.28,0.21,0.065,0.111,0.0425,0.0285,0.03
3430,I,0.325,0.24,0.075,0.152,0.065,0.0305,0.045
3431,I,0.35,0.265,0.095,0.19899999999999998,0.073,0.049,0.06
3432,I,0.36,0.27,0.09,0.21899999999999997,0.09699999999999999,0.0405,0.065
3433,I,0.365,0.27,0.105,0.2155,0.0915,0.0475,0.063
3434,I,0.37,0.28,0.09,0.2565,0.1255,0.0645,0.0645
3435,I,0.375,0.285,0.09,0.257,0.1045,0.062,0.075
3436,I,0.38,0.275,0.095,0.2505,0.0945,0.0655,0.075
3437,I,0.395,0.3,0.09,0.27899999999999997,0.134,0.049,0.075
3438,I,0.43,0.335,0.105,0.37799999999999995,0.188,0.0785,0.09
3439,I,0.44,0.35,0.125,0.456,0.21,0.0955,0.131
3440,I,0.465,0.37,0.1,0.5055,0.23399999999999999,0.11,0.14
3441,F,0.465,0.355,0.115,0.4705,0.1955,0.11800000000000001,0.126
3442,M,0.48,0.37,0.13,0.643,0.349,0.1155,0.135
3443,I,0.485,0.37,0.1,0.513,0.21899999999999997,0.1075,0.13
3444,F,0.49,0.4,0.115,0.569,0.256,0.1325,0.145
3445,I,0.495,0.4,0.145,0.578,0.2545,0.1305,0.1645
3446,I,0.5,0.385,0.11,0.596,0.3015,0.10400000000000001,0.151
3447,F,0.505,0.39,0.12,0.5725,0.2555,0.1325,0.146
3448,M,0.52,0.39,0.12,0.6435,0.2885,0.157,0.161
3449,M,0.52,0.395,0.125,0.8115,0.4035,0.166,0.2
3450,F,0.525,0.44,0.125,0.7115,0.3205,0.159,0.1915
3451,M,0.55,0.44,0.155,0.9155,0.3645,0.195,0.25
3452,F,0.555,0.44,0.145,0.8815,0.43,0.1975,0.2155
3453,F,0.555,0.42,0.11,0.9309999999999999,0.4445,0.171,0.225
3454,F,0.575,0.46,0.165,1.065,0.4985,0.2145,0.2815
3455,M,0.6,0.475,0.155,1.1385,0.502,0.2295,0.31
3456,F,0.61,0.48,0.16,1.234,0.598,0.23800000000000002,0.315
3457,F,0.61,0.495,0.175,1.2635,0.53,0.315,0.3455
3458,F,0.61,0.47,0.16,1.0745,0.4925,0.23600000000000002,0.29
3459,M,0.615,0.505,0.19,1.403,0.6715,0.2925,0.365
3460,M,0.62,0.485,0.165,1.1325,0.5235,0.2505,0.2825
3461,F,0.625,0.495,0.16,1.1115,0.4495,0.2825,0.345
3462,F,0.625,0.47,0.17,1.255,0.525,0.2415,0.405
3463,M,0.625,0.485,0.17,1.4369999999999998,0.5855,0.293,0.475
3464,M,0.635,0.495,0.155,1.3635,0.583,0.2985,0.295
3465,F,0.64,0.48,0.195,1.1435,0.4915,0.2345,0.353
3466,M,0.64,0.5,0.17,1.4545,0.642,0.3575,0.354
3467,M,0.66,0.525,0.18,1.4780000000000002,0.5815,0.381,0.37200000000000005
3468,F,0.665,0.52,0.165,1.6885,0.7295,0.40700000000000003,0.4265
3469,F,0.715,0.585,0.23,2.0725,0.8655,0.4095,0.565
3470,M,0.72,0.565,0.2,1.787,0.718,0.385,0.529
3471,F,0.725,0.58,0.185,1.5230000000000001,0.8045,0.3595,0.4375
3472,I,0.165,0.12,0.05,0.021,0.0075,0.0045,0.013999999999999999
3473,I,0.21,0.15,0.055,0.0455,0.02,0.0065,0.013000000000000001
3474,I,0.355,0.265,0.085,0.2435,0.122,0.0525,0.06
3475,I,0.4,0.315,0.085,0.2675,0.11599999999999999,0.0585,0.0765
3476,I,0.4,0.29,0.1,0.258,0.10400000000000001,0.059000000000000004,0.0815
3477,I,0.4,0.3,0.11,0.2985,0.1375,0.071,0.075
3478,I,0.435,0.335,0.11,0.41100000000000003,0.2025,0.0945,0.1
3479,I,0.44,0.33,0.11,0.38,0.19699999999999998,0.079,0.09
3480,I,0.45,0.34,0.105,0.4385,0.21,0.0925,0.12
3481,I,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109
3482,I,0.47,0.355,0.145,0.4485,0.156,0.102,0.12300000000000001
3483,I,0.47,0.355,0.115,0.4155,0.16699999999999998,0.084,0.139
3484,I,0.475,0.42,0.16,0.7095,0.35,0.1505,0.1845
3485,I,0.485,0.37,0.115,0.637,0.38,0.1335,0.128
3486,F,0.505,0.475,0.16,1.1155,0.509,0.239,0.3065
3487,I,0.51,0.405,0.13,0.599,0.3065,0.1155,0.1485
3488,I,0.52,0.38,0.13,0.5345,0.2375,0.122,0.1535
3489,F,0.53,0.42,0.14,0.627,0.2905,0.1165,0.183
3490,M,0.535,0.42,0.16,0.7465,0.348,0.1515,0.2185
3491,M,0.55,0.44,0.16,0.985,0.4645,0.201,0.27
3492,M,0.555,0.44,0.145,0.85,0.4165,0.1685,0.23
3493,M,0.555,0.44,0.15,0.838,0.4155,0.146,0.23
